station,system,train_mse,train_rmse,val_mse,val_rmse,test_mse,test_rmse,best_alpha,best_sigma,best_k
Rovaniemi Apukka,System C,16.9671,4.1191,17.6696,4.2035,16.9586,4.1181,50.0,50.0,5
Sodankylä,System C,13.5259,3.6778,16.8624,4.1064,14.0438,3.7475,50.0,50.0,5
Inari Saariselkä,System C,9.5064,3.0832,12.1093,3.4798,9.4743,3.078,50.0,50.0,5
Hanko Tulliniemi,System C,61.7725,7.8595,62.5822,7.9109,58.9357,7.677,50.0,50.0,5
Kajaani Airport,System C,20.7037,4.5501,23.3392,4.8311,17.2107,4.1486,50.0,50.0,5
Kittilä Airport,System C,13.3732,3.6569,18.1603,4.2615,13.9142,3.7302,50.0,50.0,5
Muonio Oustajärvi,System C,13.7537,3.7086,19.6383,4.4315,13.3291,3.6509,50.0,50.0,5
Pelkosenniemi Pyhätunturi,System C,6.5554,2.5603,7.1878,2.681,6.1162,2.4731,50.0,50.0,5
Raahe Nahkiainen,System C,26.5688,5.1545,27.106,5.2063,22.9413,4.7897,50.0,50.0,5
Helsinki Kaisaniemi,System D,58.475,7.6469,59.2178,7.6953,55.3625,7.4406,10.0,50.0,-
Turku Artukainen,System D,55.7685,7.4678,56.9927,7.5493,53.6789,7.3266,10.0,50.0,-
Oulu Vihreäsaari,System D,24.1654,4.9158,26.367,5.1349,19.6982,4.4383,10.0,50.0,-
Tampere Härmälä,System D,41.349,6.4303,42.444,6.5149,38.9363,6.2399,10.0,50.0,-
Jyväskylä Airport,System D,27.9765,5.2893,29.653,5.4455,24.9896,4.999,10.0,50.0,-
Kuopio Maaninka,System D,28.1742,5.3079,29.5894,5.4396,23.7352,4.8719,10.0,50.0,-
Rovaniemi Apukka,System D,16.9077,4.1119,17.6912,4.2061,16.9595,4.1182,10.0,50.0,-
Sodankylä,System D,13.5173,3.6766,16.8471,4.1045,14.0466,3.7479,10.0,50.0,-
Inari Saariselkä,System D,9.5017,3.0825,12.1113,3.4801,9.5049,3.083,10.0,50.0,-
Hanko Tulliniemi,System D,61.7528,7.8583,62.8285,7.9264,58.768,7.666,10.0,50.0,-
Kajaani Airport,System D,20.7004,4.5498,23.3369,4.8308,17.1857,4.1456,10.0,50.0,-
Kittilä Airport,System D,13.3626,3.6555,18.2215,4.2687,13.9542,3.7355,10.0,50.0,-
Muonio Oustajärvi,System D,13.7397,3.7067,19.7035,4.4389,13.348,3.6535,10.0,50.0,-
Pelkosenniemi Pyhätunturi,System D,6.5229,2.554,7.1131,2.667,6.189,2.4878,10.0,50.0,-
Raahe Nahkiainen,System D,26.5785,5.1554,27.0073,5.1969,22.9839,4.7942,10.0,50.0,-
