station,system,train_mse,train_rmse,val_mse,val_rmse,test_mse,test_rmse,best_alpha,best_sigma,best_k
Rovaniemi Apukka,System C,15.985,3.9981,19.768,4.4461,15.0637,3.8812,100.0,50.0,2
Sodankylä,System C,13.5102,3.6756,16.2359,4.0294,15.0486,3.8792,100.0,50.0,2
Inari Saariselkä,System C,9.9106,3.1481,11.9489,3.4567,10.3384,3.2153,100.0,50.0,2
Hanko Tulliniemi,System C,59.0836,7.6866,59.3925,7.7067,62.7287,7.9201,100.0,50.0,2
Kajaani Airport,System C,18.5957,4.3123,26.8038,5.1772,18.0573,4.2494,100.0,50.0,2
Kittilä Airport,System C,13.8371,3.7198,14.7587,3.8417,12.1096,3.4799,100.0,50.0,2
Muonio Oustajärvi,System C,14.9092,3.8612,16.8272,4.1021,11.8865,3.4477,100.0,50.0,2
Pelkosenniemi Pyhätunturi,System C,6.1752,2.485,8.1292,2.8512,6.286,2.5072,100.0,50.0,2
Raahe Nahkiainen,System C,24.1681,4.9161,26.0316,5.1021,25.8521,5.0845,100.0,50.0,2
Helsinki Kaisaniemi,System D,56.1338,7.4923,58.6348,7.6573,60.9169,7.8049,50.0,50.0,-
Turku Artukainen,System D,52.6959,7.2592,55.9844,7.4823,57.2741,7.568,50.0,50.0,-
Oulu Vihreäsaari,System D,21.732,4.6618,25.8346,5.0828,21.9334,4.6833,50.0,50.0,-
Tampere Härmälä,System D,38.1329,6.1752,42.0137,6.4818,40.6738,6.3776,50.0,50.0,-
Jyväskylä Airport,System D,25.3093,5.0308,31.1093,5.5776,27.0475,5.2007,50.0,50.0,-
Kuopio Maaninka,System D,25.1021,5.0102,33.1486,5.7575,25.8283,5.0822,50.0,50.0,-
Rovaniemi Apukka,System D,15.9847,3.9981,19.7617,4.4454,15.0715,3.8822,50.0,50.0,-
Sodankylä,System D,13.5093,3.6755,16.2317,4.0289,15.0507,3.8795,50.0,50.0,-
Inari Saariselkä,System D,9.9114,3.1482,11.9504,3.4569,10.34,3.2156,50.0,50.0,-
Hanko Tulliniemi,System D,59.0828,7.6865,59.3873,7.7063,62.7228,7.9198,50.0,50.0,-
Kajaani Airport,System D,18.5954,4.3122,26.808,5.1776,18.0555,4.2492,50.0,50.0,-
Kittilä Airport,System D,13.8372,3.7198,14.7642,3.8424,12.1004,3.4786,50.0,50.0,-
Muonio Oustajärvi,System D,14.9095,3.8613,16.8259,4.1019,11.8851,3.4475,50.0,50.0,-
Pelkosenniemi Pyhätunturi,System D,6.1751,2.485,8.127,2.8508,6.2853,2.507,50.0,50.0,-
Raahe Nahkiainen,System D,24.1685,4.9161,26.0308,5.102,25.8478,5.0841,50.0,50.0,-
